tripduration,starttime,stoptime,start station id,start station name,end station id,end station name,id,name
5104,18:57.4,44:01.9,74,Harvard Square at Mass Ave/ Dunster,120,Beacon St at Charles St,6,Cambridge St at Joy St
5087,30:57.7,55:45.1,74,Harvard Square at Mass Ave/ Dunster,97,Harvard University River Houses at DeWolfe St / Cowperthwaite St,225,Cambridge Dept. of Public Works -147 Hampshire St.
5083,04:51.7,29:35.4,74,Harvard Square at Mass Ave/ Dunster,190,Nashua Street at Red Auerbach Way,176,Lesley University
5081,19:10.5,43:51.9,74,Harvard Square at Mass Ave/ Dunster,120,Beacon St at Charles St,161,W Broadway at D St
5071,27:24.2,51:55.6,74,Harvard Square at Mass Ave/ Dunster,74,Harvard Square at Mass Ave/ Dunster,358,Medford St at Charlestown BCYF
5069,08:22.1,32:52.0,74,Harvard Square at Mass Ave/ Dunster,190,Nashua Street at Red Auerbach Way,173,Savin Hill T Stop - S Sydney St at Bay St
5055,08:44.4,32:59.9,74,Harvard Square at Mass Ave/ Dunster,190,Nashua Street at Red Auerbach Way,174,Washington St at Brock St
4929,08:13.1,30:23.0,74,Harvard Square at Mass Ave/ Dunster,7,Fan Pier,365,Harrison Ave at Bennet St
4913,13:21.6,35:15.1,74,Harvard Square at Mass Ave/ Dunster,122,Burlington Ave at Brookline Ave,329,Washington St at Myrtle St
4910,16:54.2,38:44.3,74,Harvard Square at Mass Ave/ Dunster,23,Boston City Hall - 28 State St,279,Williams St at Washington St
4870,31:35.8,52:45.9,74,Harvard Square at Mass Ave/ Dunster,110,Harvard University Gund Hall at Quincy St / Kirkland St,206,Government Center - Cambridge St at Court St
4835,31:49.8,52:25.3,74,Harvard Square at Mass Ave/ Dunster,110,Harvard University Gund Hall at Quincy St / Kirkland St,236,Assembly Square T
4821,05:49.5,26:11.0,74,Harvard Square at Mass Ave/ Dunster,181,Huron Ave At Vassal Lane,189,Kendall T
4806,23:47.6,43:53.6,74,Harvard Square at Mass Ave/ Dunster,70,Harvard Kennedy School at Bennett St / Eliot St,3,Colleges of the Fenway - Fenway at Avenue Louis Pasteur
4798,32:30.0,52:28.9,74,Harvard Square at Mass Ave/ Dunster,110,Harvard University Gund Hall at Quincy St / Kirkland St,8,Union Square - Brighton Ave at Cambridge St
4795,06:15.8,26:11.3,74,Harvard Square at Mass Ave/ Dunster,181,Huron Ave At Vassal Lane,371,700 Huron Ave
4794,32:27.4,52:21.8,74,Harvard Square at Mass Ave/ Dunster,110,Harvard University Gund Hall at Quincy St / Kirkland St,86,Brookline Village - Station Street at MBTA
4757,21:15.3,40:33.3,74,Harvard Square at Mass Ave/ Dunster,57,Massachusetts Ave at Columbus Ave,4,Tremont St at E Berkeley St
4744,14:35.3,33:39.8,74,Harvard Square at Mass Ave/ Dunster,159,S Huntington Ave at Heath St,81,Chinatown T Stop
4702,30:32.4,48:55.0,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,75,Lafayette Square at Mass Ave / Main St / Columbia St
4692,36:59.0,55:11.1,74,Harvard Square at Mass Ave/ Dunster,36,Copley Square - Dartmouth St at Boylston St,197,MLK Blvd at Washington St
4673,24:24.8,42:18.2,74,Harvard Square at Mass Ave/ Dunster,33,Kenmore Square,366,Broadway T Stop
4665,31:12.9,48:58.9,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,30,Brigham Circle - Francis St at Huntington Ave
4659,38:40.5,56:19.9,74,Harvard Square at Mass Ave/ Dunster,186,Congress St at Northern Ave,233,St Mary's
4653,37:15.8,54:49.7,74,Harvard Square at Mass Ave/ Dunster,36,Copley Square - Dartmouth St at Boylston St,12,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd
4639,38:48.2,56:07.4,74,Harvard Square at Mass Ave/ Dunster,186,Congress St at Northern Ave,143,EF - North Point Park
4614,31:56.4,48:51.1,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,346,Cleveland Circle
4566,46:22.4,02:28.9,74,Harvard Square at Mass Ave/ Dunster,354,Washington St at Egremont Rd,43,Rowes Wharf at Atlantic Ave
4556,00:32.8,16:29.2,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,376,Honan Library
4547,14:28.2,30:15.8,74,Harvard Square at Mass Ave/ Dunster,7,Fan Pier,332,Harvard Ave at Brainerd Rd
4536,29:35.9,45:12.4,74,Harvard Square at Mass Ave/ Dunster,73,Harvard Square at Brattle St / Eliot St,82,Beacon St at Tappan St
4534,00:53.6,16:27.7,74,Harvard Square at Mass Ave/ Dunster,58,Mugar Way at Beacon St,175,Brighton Center - Washington St at Cambridge St
4529,38:51.7,54:21.1,74,Harvard Square at Mass Ave/ Dunster,36,Copley Square - Dartmouth St at Boylston St,111,Packard Ave at Powderhouse Blvd
4526,38:47.0,54:13.1,74,Harvard Square at Mass Ave/ Dunster,36,Copley Square - Dartmouth St at Boylston St,364,Tremont St at Northampton St
4526,38:47.6,54:14.5,74,Harvard Square at Mass Ave/ Dunster,36,Copley Square - Dartmouth St at Boylston St,344,Commonwealth Ave at Chiswick Rd
4523,39:05.9,54:29.4,74,Harvard Square at Mass Ave/ Dunster,36,Copley Square - Dartmouth St at Boylston St,318,Ames St at Broadway
4480,52:00.7,06:41.5,74,Harvard Square at Mass Ave/ Dunster,52,Newbury St at Hereford St,25,South End Library - Tremont St at W Newton St
4467,11:56.9,26:24.0,74,Harvard Square at Mass Ave/ Dunster,387,7 Acre Park,204,Walnut Ave at Warren St
4455,18:48.2,33:04.0,74,Harvard Square at Mass Ave/ Dunster,46,Christian Science Plaza - Massachusetts Ave at Westland Ave,178,MIT Pacific St at Purrington St
4426,12:51.6,26:38.1,74,Harvard Square at Mass Ave/ Dunster,387,7 Acre Park,319,84 Cambridgepark Dr
